Pager usage is off.
改前对照表 — 2026-08-11 海运柜下一站修复
每一条改之前长什么样，出事了照着这个核对

           轨迹id            |     柜号      |    运单号     |  唛头   | 改前的下一站 |    日期    
-----------------------------+---------------+---------------+---------+--------------+------------
 sl_ctn_1786156234793_0_tilc | GZS2608061074 | GZ260800397-1 | XHH6686 | 广西凭祥出口 | 2026-08-08
 sl_ctn_1786156234793_1_dakg | GZS2608061074 | GZ260800382-1 | XHH6668 | 广西凭祥出口 | 2026-08-08
 sl_ctn_1786156234793_2_8tpj | GZS2608061074 | GZ260800365-1 | XHH6668 | 广西凭祥出口 | 2026-08-08
 sl_ctn_1786156234793_3_9kgh | GZS2608061074 | GZ260800328-1 | XHH6698 | 广西凭祥出口 | 2026-08-08
 sl_mnf_1786156191263_0_acdv | GZS2608061074 | GZ260800397-1 | XHH6686 | 广西凭祥出口 | 2026-08-08
 sl_mnf_1786156191333_0_s7su | GZS2608061074 | GZ260800382-1 | XHH6668 | 广西凭祥出口 | 2026-08-08
 sl_mnf_1786156191405_0_3ucj | GZS2608061074 | GZ260800365-1 | XHH6668 | 广西凭祥出口 | 2026-08-08
 sl_mnf_1786156191480_0_xayv | GZS2608061074 | GZ260800328-1 | XHH6698 | 广西凭祥出口 | 2026-08-08
 sl_ctn_1786344660922_0_dzye | GZS2608080691 | GZ260800553-1 | XHH6668 | 广西凭祥出口 | 2026-08-10
 sl_mnf_1786344648711_0_tvhk | GZS2608080691 | GZ260800553-1 | XHH6668 | 广西凭祥出口 | 2026-08-10
 sl_ctn_1786178905330_0_9j8d | GZS2608086428 | GZ260800533-1 | XHH6665 | 广西凭祥出口 | 2026-08-08
 sl_ctn_1786178905330_1_1yhh | GZS2608086428 | GZ260800490-1 | XHH6614 | 广西凭祥出口 | 2026-08-08
 sl_ctn_1786178905330_2_24xc | GZS2608086428 | GZ260800459-1 | XHH6668 | 广西凭祥出口 | 2026-08-08
 sl_mnf_1786178895595_0_cvnx | GZS2608086428 | GZ260800533-1 | XHH6665 | 广西凭祥出口 | 2026-08-08
 sl_mnf_1786178895664_0_hbzp | GZS2608086428 | GZ260800490-1 | XHH6614 | 广西凭祥出口 | 2026-08-08
 sl_mnf_1786178895736_0_pn2z | GZS2608086428 | GZ260800459-1 | XHH6668 | 广西凭祥出口 | 2026-08-08
 sl_ctn_1786345091287_0_z360 | GZS2608094208 | GZ260800615-1 | XHH6614 | 广西凭祥出口 | 2026-08-10
 sl_ctn_1786345091287_1_rqsv | GZS2608094208 | GZ260800604-1 | XHH6663 | 广西凭祥出口 | 2026-08-10
 sl_ctn_1786345091287_2_rupt | GZS2608094208 | GZ260800606-1 | XHH6668 | 广西凭祥出口 | 2026-08-10
 sl_ctn_1786345091287_3_e36o | GZS2608094208 | GZ260800608-1 | XHH6663 | 广西凭祥出口 | 2026-08-10
 sl_mnf_1786345080229_0_feyx | GZS2608094208 | GZ260800615-1 | XHH6614 | 广西凭祥出口 | 2026-08-10
 sl_mnf_1786345080294_0_33za | GZS2608094208 | GZ260800604-1 | XHH6663 | 广西凭祥出口 | 2026-08-10
 sl_mnf_1786345080362_0_cuzq | GZS2608094208 | GZ260800606-1 | XHH6668 | 广西凭祥出口 | 2026-08-10
